Democratics,Republicans,Party,State,County
5911.040089,8409.035986,0,NV,eureka
-10110.52296,6872.239023,1,TX,zavala
68175.04553,51265.64137,0,VA,king george
979.8193174,8245.474716,0,OH,hamilton
25027.76696,21083.08555,0,TX,austin
3864.774459,-4752.569699,0,MI,barry
-11990.09924,1672.281547,0,NM,valencia
6154.686237,-11588.69698,0,TX,ellis
-4155.599961,853.3085233,0,NJ,mercer
16660.16616,15121.65881,0,PA,cambria
2421.088621,4948.6938,0,IN,switzerland
18900.88466,16853.46814,1,NV,lander
10207.51892,12753.58584,0,NE,cherry
97829.45147,68242.17097,1,VA,radford city
11732.03385,9823.995491,0,FL,lee
91103.01153,72582.49615,0,MI,arenac
-822.8938742,2784.027473,1,TX,shackelford
-367.6714088,923.1910285,0,NJ,gloucester
-2670.312779,5809.89815,0,OH,trumbull
8081.49982,11679.44571,0,OH,lawrence
15543.97355,6570.815055,1,ND,burke
40213.40039,15185.49373,1,TX,hardeman
48701.15341,41166.35503,0,NE,keya paha
14100.74274,11763.87132,0,VA,norton city
50793.29379,38483.27668,0,ND,bowman
128439.6639,98436.19344,0,UT,duchesne
91571.02139,26217.06269,1,MN,carlton
2447.7896,13684.24747,0,FL,okaloosa
-2107.617598,-1654.119566,0,TX,oldham
-23642.9862,-12862.06752,0,MT,lewis and clark
8625.265073,10251.06542,0,NY,rockland
-5635.030197,-6748.44223,0,TX,waller
14454.74053,17364.35504,0,VA,falls church city
20350.4457,15155.14976,0,PA,potter
-4924.55385,-11619.01429,0,MI,gratiot
-4540.184783,-322.2051694,0,MI,shiawassee
102645.5984,70159.41895,1,MN,polk
14825.47439,25611.4174,0,ND,billings
76350.60799,61897.70096,0,ND,mckenzie
25589.24074,22113.75462,0,WY,weston
125694.4481,79283.99445,1,MT,jefferson
70427.90408,52440.71623,0,VT,bennington
730.5202637,1745.986716,0,FL,clay
1289.629232,3689.494373,0,AZ,yuma
-1528.43871,4887.410549,0,TX,terrell
11226.1694,12262.0203,0,MA,bristol
688.5450123,11390.23876,0,WV,webster
11379.4131,23428.71573,1,TX,collingsworth
4280.017234,14912.32095,0,NY,chautauqua
3050.332895,7865.720958,0,TN,fayette
57963.42705,45592.55977,1,TX,bandera
168317.0174,107159.9487,1,NJ,union
4081.06079,3907.828759,0,TX,sherman
-9999.121003,-29058.43818,0,NY,seneca
511689.455,275551.9867,1,TX,martin
-25065.07857,1557.04047,1,UT,tooele
-5886.307379,11235.77966,0,MD,talbot
8792.288416,16258.04536,0,FL,highlands
4405.040624,15060.49807,0,IN,gibson
7513.955415,15311.13787,0,MD,allegany
6798.392629,10404.48028,0,MI,mecosta
109451.7688,57718.3258,1,TX,jasper
3922.841733,6757.693831,0,DE,new castle
-856.1379174,9338.642987,0,VA,warren
-638.8675781,6754.604469,0,OH,ashtabula
3679.900553,4678.343757,0,WV,ohio
2737.829234,10978.72932,0,NM,bernalillo
14676.34586,5403.666355,0,FL,calhoun
84366.81718,60487.5735,1,NM,torrance
13123.08241,8533.02428,0,UT,box elder
1431.714125,8331.141392,0,FL,columbia
19806.27605,21309.86047,0,TX,edwards
-3223.779378,6875.188154,0,MI,iron
9222.278934,13279.42509,0,IN,bartholomew
2350.505423,13121.01818,0,MT,treasure
2543.598755,8935.058166,0,FL,liberty
10884.02321,845.8899008,0,WV,brooke
